winner,winner,winner_number,overall_p1,overall_p2,tournament,surface,player2,player2_num,player1,player1_num,original_location,city,country,location,level,year,round,score,withdrawal,retirement,score,winner_set1,loser_set1,winner_set2,loser_set2,winner_set3,loser_set3,winner_set4,loser_set4,winner_set5,loser_set5,set1,set2,set3,set4,set5,winner_sets,loser_sets,winner_games,loser_games
"Djokovic,‘_Novak",Djokovic,1,16,2,Beijing,Hard,Berdych,6,Djokovic,1,China,Beijing,China,Asia,Other,2014,F,"6-0, 6-2‘_",0,0,"6-0, 6-2",6,0,6,2,0,0,0,0,0,0,6,4,0,0,0,2,0,12,2
"Djokovic,‘_Novak",Djokovic,1,10,0,Beijing,Hard,Cilic,8,Djokovic,1,China,Beijing,China,Asia,Other,2009,F,"6-2, 7-6(4)‘_",0,0,"6-2, 7-6(4)",6,2,7,6,0,0,0,0,0,0,4,1,0,0,0,2,0,13,8
"Federer,‘_Roger",Federer,2,14,2,ATP World Tour Masters 1000 Shanghai,Hard,Wawrinka,3,Federer,2,"Shanghai, China",Shanghai,China,Asia,Masters 1000,2012,R16,"4-6, 7-6(4), 6-0‘_",0,0,"4-6, 7-6(4), 6-0",4,6,7,6,6,0,0,0,0,0,-2,1,6,0,0,2,1,17,12
"Murray,‘_Andy",Murray,5,11,11,ATP World Tour Masters 1000 Shanghai,Hard,Murray,5,Federer,2,"Shanghai, China",Shanghai,China,Asia,Masters 1000,2012,S,"6-4, 6-4‘_",0,0,"6-4, 6-4",6,4,6,4,0,0,0,0,0,0,2,2,0,0,0,2,0,12,8
"Murray,‘_Andy",Murray,5,11,11,ATP World Tour Masters 1000 Shanghai,Hard,Murray,5,Federer,2,China,Shanghai,China,Asia,Masters 1000,2010,F,"6-3, 6-2‘_",0,0,"6-3, 6-2",6,3,6,2,0,0,0,0,0,0,3,4,0,0,0,2,0,12,5
"Murray,‘_Andy",Murray,5,11,11,Tennis Masters Cup,Hard,Murray,5,Federer,2,China,Shanghai,China,Asia,World Tour Finals,2008,RR,"4-6, 7-6(3), 7-5‘_",0,0,"4-6, 7-6(3), 7-5",4,6,7,6,7,5,0,0,0,0,-2,1,2,0,0,2,1,18,17
"Federer,‘_Roger",Federer,2,12,6,Beijing Olympics,Hard,Berdych,6,Federer,2,China,Beijing,China,Asia,Olympics/DC,2008,R16,"6-3, 7-6(4)‘_",0,0,"6-3, 7-6(4)",6,3,7,6,0,0,0,0,0,0,3,1,0,0,0,2,0,13,9
"Federer,‘_Roger",Federer,2,5,1,ATP World Tour Masters 1000 Shanghai,Hard,Cilic,8,Federer,2,"Shanghai, China",Shanghai,China,Asia,Masters 1000,2012,Q,"6-3, 6-4‘_",0,0,"6-3, 6-4",6,3,6,4,0,0,0,0,0,0,3,2,0,0,0,2,0,12,7
"Murray,‘_Andy",Murray,5,6,8,ATP World Tour Masters 1000 Shanghai,Hard,Murray,5,Wawrinka,3,"Shanghai, China",Shanghai,China,Asia,Masters 1000,2011,R16,"6-4, 3-6, 6-3‘_",0,0,"6-4, 3-6, 6-3",6,4,3,6,6,3,0,0,0,0,2,-3,3,0,0,2,1,15,13
"Wawrinka,‘_Stan",Wawrinka,3,3,0,ATP World Tour Masters 1000 Shanghai,Hard,Raonic,7,Wawrinka,3,"Shanghai, China",Shanghai,China,Asia,Masters 1000,2013,R16,"7-6(2), 6-4‘_",0,0,"7-6(2), 6-4",7,6,6,4,0,0,0,0,0,0,1,2,0,0,0,2,0,13,10
"Murray,‘_Andy",Murray,5,0,3,ATP World Tour Masters 1000 Shanghai,Hard,Murray,5,Nishikori,4,"Shanghai, China",Shanghai,China,Asia,Masters 1000,2011,S,"6-3, 6-0‘_",0,0,"6-3, 6-0",6,3,6,0,0,0,0,0,0,0,3,6,0,0,0,2,0,12,3
"Murray,‘_Andy",Murray,5,10,2,Beijing,Hard,Cilic,8,Murray,5,China,Beijing,China,Asia,Other,2014,Q,"6-1, 6-4‘_",0,0,"6-1, 6-4",6,1,6,4,0,0,0,0,0,0,5,2,0,0,0,2,0,12,5
"Berdych,‘_Tomas",Berdych,6,5,4,ATP World Tour Masters 1000 Shanghai,Hard,Cilic,8,Berdych,6,China,Shanghai,China,Asia,Masters 1000,2009,R64,"7-6(8), 3-6, 6-4‘_",0,0,"7-6(8), 3-6, 6-4",7,6,3,6,6,4,0,0,0,0,1,-3,2,0,0,2,1,16,16
"Berdych,‘_Tomas",Berdych,6,5,4,Beijing,Hard,Cilic,8,Berdych,6,China,Beijing,China,Asia,Other,2011,F,"3-6, 6-4, 6-1‘_",0,0,"3-6, 6-4, 6-1",3,6,6,4,6,1,0,0,0,0,-3,2,5,0,0,2,1,15,11
"Wawrinka,‘_Stan",Wawrinka,3,15,3,Umag,Clay,Wawrinka,3,Djokovic,1,Croatia,Umag,Croatia,Europe,Other,2006,F,6-6(1) RET‘_,0,1,6-6(1),6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
"Djokovic,‘_Novak",Djokovic,1,10,0,CRO vs. SRB WG QF,Hard,Cilic,8,Djokovic,1,Croatia,Split,Croatia,Europe,Olympics/DC,2010,RR,"6-3, 6-3, 6-2‘_",0,0,"6-3, 6-3, 6-2",6,3,6,3,6,2,0,0,0,0,3,3,4,0,0,3,0,18,8
"Wawrinka,‘_Stan",Wawrinka,3,7,2,Umag,Clay,Cilic,8,Wawrinka,3,Croatia,Umag,Croatia,Europe,Other,2006,R16,"6-4, 2-6, 6-4‘_",0,0,"6-4, 2-6, 6-4",6,4,2,6,6,4,0,0,0,0,2,-4,2,0,0,2,1,14,14
