winner,winnerid,score,tournament,overall,surface,player2,player2id,player1,player1id,location,year,stage
Agnieszka Radwanska,4,7-5 6-0,BRUSSELS,2 - 4,CLAY,Agnieszka Radwanska,5,Simona Halep,4,"BRUSSELS, BELGIUM",2012,F
Agnieszka Radwanska,5,6-3 6-1,AUCKLAND,2 - 4,HARD,Agnieszka Radwanska,5,Simona Halep,4,"Auckland, NEW ZEALAND",2013,R16
Simona Halep,6,6-7 (7) 6-1 6-2,ROME,2 - 4,CLAY,Agnieszka Radwanska,6,Simona Halep,4,"Rome, ITALY",2013,R32
Simona Halep,6,7-5 6-2,DOHA,2 - 4,HARD,Agnieszka Radwanska,6,Simona Halep,4,"Doha, QATAR",2014,S
Agnieszka Radwanska,7,6-3 6-4,INDIAN WELLS,2 - 4,HARD,Agnieszka Radwanska,7,Simona Halep,4,"Indian Wells, USA",2014,S
Ana Ivanovic,6,6-3 RET,DOHA,2 - 1,HARD,Ana Ivanovic,6,Simona Halep,4,"Doha, QATAR",2013,R32
Simona Halep,4,2-6 6-1 6-3,SOFIA,2 - 1,HARD,Ana Ivanovic,7,Simona Halep,4,"Sofia, BULGARIA",2013,SF
Simona Halep,4,6-2 6-2,MADRID,2 - 1,CLAY,Ana Ivanovic,7,Simona Halep,4,"Madrid, SPAIN",2014,Q
Ana Ivanovic,8,W/O,BEIJING,2 - 1,HARD,Ana Ivanovic,8,Simona Halep,4,"Beijing,  ",2014,Q
Caroline Wozniacki,7,6-2 6-3,DUBAI,1 - 1,HARD,Caroline Wozniacki,7,Simona Halep,4,"Dubai, UNITED ARAB EMIRATES",2012,R16
Simona Halep,4,6-2 7-5,NEW HAVEN,1 - 1,HARD,Caroline Wozniacki,8,Simona Halep,4,"New Haven, USA",2013,S
Agnieszka Radwanska,6,7-6 (3) 6-2,MADRID,0 - 1,CLAY,Agnieszka Radwanska,6,Eugenie Bouchard,5,"Madrid, SPAIN",2014,R64
Eugenie Bouchard,5,6-3 6-3,WIMBLEDON,2 - 0,GRASS,Ana Ivanovic,7,Eugenie Bouchard,5,"Wimbledon, GREAT BRITAIN",2013,R64
Eugenie Bouchard,5,5-7 7-5 6-2,AUSTRALIAN OPEN,2 - 0,HARD,Ana Ivanovic,7,Eugenie Bouchard,5,"Melbourne, AUSTRALIA",2014,Q
Eugenie Bouchard,5,6-2 6-3,WUHAN,1 - 0,HARD,Caroline Wozniacki,8,Eugenie Bouchard,5,"Wuhan, CHINA",2014,S
Ana Ivanovic,6,6-2 6-2,LINZ,7 - 3,HARD,Ana Ivanovic,8,Agnieszka Radwanska,6,"Austria, AUSTRIA",2006,R16
Ana Ivanovic,6,6-2 3-6 6-2,AUSTRALIAN OPEN,7 - 3,HARD,Ana Ivanovic,8,Agnieszka Radwanska,6,"MELBOURNE, AUSTRALIA",2007,R64
Agnieszka Radwanska,6,W/O,DOHA,7 - 3,HARD,Ana Ivanovic,8,Agnieszka Radwanska,6,"DOHA, QATAR",2008,R16
